com.samsung.health.exercise
time_offset,max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,mean_speed,mean_heart_rate,count_type,custom,end_time,count,min_altitude,max_speed,exercise_type,pkg_name,start_time,max_power,mean_power,min_heart_rate,calorie,comment,max_heart_rate,exercise_custom_type,mean_cadence
-14400000,,live_data.29.blob,,769.652,,,,dOU0jyvERH,714958,2017-05-23 17:39:23.360,b67132a4-3d1e-dde9-00a9-9bf72ae2a461,location_data.30.blob,,,,,,0.0,2017-05-23 17:39:23.360,1.5753278,0.0,,,2017-05-23 17:38:21.148,,,2.25,1001,com.sec.android.app.shealth,2017-05-23 17:26:26.190,,,0.0,64.96,,0.0,,0.0
-14400000,,live_data.31.blob,,865.81,,,,dOU0jyvERH,813416,2017-05-24 09:46:11.061,2e5b381a-76af-b032-d7c1-10c97ac27b57,location_data.32.blob,,,,,,0.0,2017-05-24 09:46:11.061,1.2131944,0.0,,,2017-05-24 09:45:10.504,,,1.4722222,1001,com.sec.android.app.shealth,2017-05-24 09:31:37.088,,,0.0,66.67,,0.0,,0.0
-14400000,,live_data.33.blob,,952.23,,,,dOU0jyvERH,860339,2017-05-24 10:50:44.954,4b96fabc-4f22-29c5-1f96-82c3abe8a8ce,location_data.34.blob,,,,,,0.0,2017-05-24 10:50:44.954,1.1758529,0.0,,,2017-05-24 10:49:43.863,,,1.3055556,1001,com.sec.android.app.shealth,2017-05-24 10:35:23.524,,,0.0,68.3,,0.0,,0.0
-14400000,,live_data.35.blob,,,,,,dOU0jyvERH,1001910,2017-05-25 10:17:56.654,48bc20a7-d1e2-e973-021c-d18cfdcb16cc,location_data.36.blob,,,,,,0.0,2017-05-25 10:17:56.654,,0.0,,,2017-05-25 10:16:14.942,,,,15006,com.sec.android.app.shealth,2017-05-25 09:59:33.032,,,0.0,139.376,,0.0,,0.0
-14400000,,live_data.37.blob,,576.14,,,,dOU0jyvERH,665628,2017-05-27 15:49:14.082,67ea855c-cd32-cbe7-0a35-663ff1523a04,location_data.38.blob,,,,,,0.0,2017-05-27 15:49:14.082,0.9282407,0.0,,,2017-05-27 15:47:14.904,,,1.0277778,1001,com.sec.android.app.shealth,2017-05-27 15:36:09.276,,,0.0,50.94,,0.0,,0.0
-14400000,,live_data.39.blob,,741.182,,,,dOU0jyvERH,686088,2017-05-30 09:51:07.003,ec8ad57d-e3ec-52bb-e7fc-142e0023cf92,location_data.40.blob,,,,,,0.0,2017-05-30 09:51:07.003,1.1480138,0.0,,,2017-05-30 09:47:37.838,,,1.2762375,1001,com.sec.android.app.shealth,2017-05-30 09:36:11.750,,,0.0,55.73,,0.0,,0.0
-14400000,,live_data.41.blob,,,,,,dOU0jyvERH,668404,2017-05-31 10:23:10.114,6cbba129-f2a6-81e6-6bfb-c96d242aee2b,location_data.42.blob,,,,,,0.0,2017-05-31 10:23:10.114,,0.0,,,2017-05-31 10:21:01.567,,,,15006,com.sec.android.app.shealth,2017-05-31 10:09:53.163,,,0.0,92.982,,0.0,,0.0
-14400000,,live_data.43.blob,,1368.522,,,,dOU0jyvERH,1124066,2017-06-04 12:54:46.281,b6992ef2-dd0d-3e3e-80a4-dbdb38128e2b,location_data.44.blob,,,,,,0.0,2017-06-04 12:54:46.281,1.3956031,0.0,,,2017-06-04 12:49:58.839,,,1.6388888,1001,com.sec.android.app.shealth,2017-06-04 12:31:14.773,,,0.0,96.6,,0.0,,0.0
-14400000,,live_data.45.blob,,1528.979,,,,dOU0jyvERH,1169375,2017-06-04 15:36:14.274,8f1b64ce-0bd1-608b-706c-5c4e556bd692,location_data.46.blob,,,,,,0.0,2017-06-04 15:36:14.274,1.4438968,0.0,,,2017-06-04 15:25:59.362,,,1.5833334,1001,com.sec.android.app.shealth,2017-06-04 15:06:29.987,,,0.0,104.14,,0.0,,0.0
-14400000,,live_data.47.blob,,1362.097,,,,dOU0jyvERH,1179658,2017-06-04 19:08:10.417,2c9701e1-5112-26f7-4191-1f54ab523978,location_data.48.blob,,,,,,0.0,2017-06-04 19:08:10.417,1.2661829,0.0,,,2017-06-04 19:05:25.367,,,1.4166666,1001,com.sec.android.app.shealth,2017-06-04 18:45:45.709,,,0.0,98.3,,0.0,,0.0
-14400000,,live_data.49.blob,,4328.357,,,,dOU0jyvERH,3197402,2017-06-05 18:42:43.139,bddaa90c-77b3-5071-9c15-82da939cbcb2,location_data.50.blob,,,,,,0.0,2017-06-05 18:42:43.139,1.4112308,0.0,,,2017-06-05 18:40:58.865,,,1.5555556,1001,com.sec.android.app.shealth,2017-06-05 17:47:41.463,,,0.0,295.46,,0.0,,0.0
-14400000,,live_data.51.blob,,,,,,dOU0jyvERH,877248,2017-06-07 10:31:27.006,f7d8db77-3cdf-734e-f928-d4347b9557a9,location_data.52.blob,,,,,,0.0,2017-06-07 10:31:27.006,,0.0,,,2017-06-07 10:28:17.703,,,,15006,com.sec.android.app.shealth,2017-06-07 10:13:40.455,,,0.0,122.034,,0.0,,0.0
-14400000,,live_data.53.blob,,2385.607,,,,dOU0jyvERH,1775499,2017-06-07 19:29:03.715,43280147-fb4a-b718-144d-739c8c80efe2,location_data.54.blob,,,,,,0.0,2017-06-07 19:29:03.715,1.3346337,0.0,,,2017-06-07 19:27:43.566,,,1.4732379,1001,com.sec.android.app.shealth,2017-06-07 18:58:08.067,,,0.0,163.92,,0.0,,0.0
-14400000,,live_data.55.blob,,2256.82,,,,HhGX3b5ODm,1491354,2017-06-08 10:09:51.989,b9beb9e9-410a-497b-85f3-901c63bdbc0c,,,,,,,,2017-06-08 10:09:51.989,1.5132692,,,,2017-06-08 10:09:51.000,,,1.7777778,1001,com.sec.android.app.shealth,2017-06-08 09:45:00.000,,,,141.21,,,,
-14400000,,live_data.56.blob,,1286.859,,,,dOU0jyvERH,968652,2017-06-08 20:42:01.936,e764e41e-5590-c07c-44d1-a1e09fe53a4f,location_data.57.blob,,,,,,0.0,2017-06-08 20:42:01.936,1.4844888,0.0,,,2017-06-08 20:40:30.499,,,1.574382,1001,com.sec.android.app.shealth,2017-06-08 20:24:21.847,,,0.0,81.81,,0.0,,0.0
-14400000,,live_data.58.blob,,2004.332,,,,dOU0jyvERH,1700594,2017-06-09 10:33:13.185,0de8be8b-213a-468e-3f49-5e8cbc074c4b,location_data.59.blob,,,,,,0.0,2017-06-09 10:33:13.185,1.2624024,0.0,,,2017-06-09 10:29:17.399,,,1.75,1001,com.sec.android.app.shealth,2017-06-09 10:00:56.805,,,0.0,138.08,,0.0,,0.0
